sample_id	PC1	PC2
TCGA-C8-A1HO-01	-0.170702	-0.357036
TCGA-C8-A26V-01	-0.161142	-0.118986
TCGA-C8-A26W-01	-0.029127	0.093186
TCGA-C8-A26X-01	0.016154	0.015040
TCGA-C8-A26Y-01	0.136090	-0.091745
TCGA-C8-A26Z-01	-0.228632	-0.104416
TCGA-C8-A273-01	-0.197825	-0.033198
TCGA-C8-A274-01	-0.253224	-0.129435
TCGA-C8-A275-01	0.038702	-0.109097
TCGA-C8-A278-01	0.095230	-0.179284
TCGA-C8-A27A-01	-0.101975	-0.334786
TCGA-C8-A27B-01	0.436610	-0.178941
TCGA-C8-A3M7-01	-0.030261	0.246647
TCGA-C8-A3M8-01	-0.238396	-0.067870
TCGA-C8-A8HP-01	0.204868	0.087248
TCGA-C8-A8HQ-01	-0.162399	-0.021093
TCGA-C8-A8HR-01	0.092946	0.272294
TCGA-D8-A1J8-01	-0.122184	-0.187876
TCGA-D8-A1J9-01	-0.099125	-0.202782
TCGA-D8-A1JA-01	-0.032481	-0.265664
TCGA-D8-A1JB-01	0.067452	0.147444
TCGA-D8-A1JC-01	-0.011981	-0.194287
TCGA-D8-A1JD-01	-0.108946	-0.087069
TCGA-D8-A1JE-01	-0.082551	-0.069676
TCGA-D8-A1JF-01	0.032271	-0.168254
TCGA-D8-A1JG-01	0.120848	-0.199141
TCGA-D8-A1JH-01	0.004409	0.166203
TCGA-D8-A1JI-01	-0.242176	-0.237646
TCGA-D8-A1JJ-01	-0.075044	-0.138188
TCGA-D8-A1JK-01	0.173909	-0.179169
TCGA-D8-A1JL-01	0.419459	-0.055293
TCGA-D8-A1JN-01	-0.223078	-0.114563
TCGA-D8-A1JP-01	0.009037	-0.067640
TCGA-D8-A1JS-01	-0.132256	-0.187087
TCGA-D8-A1JT-01	-0.128195	-0.292279
TCGA-D8-A1JU-01	0.006552	0.239565
TCGA-D8-A1X5-01	-0.151435	-0.321525
TCGA-D8-A1X6-01	-0.109067	-0.286452
TCGA-D8-A1X7-01	-0.011241	-0.140260
TCGA-D8-A1X8-01	-0.206631	0.157534
